date,type,subtype,sidereal_long,sign,deg_in_sign,nakshatra,pada,visible_from_bhubaneswar
2021-05-26 11:18,Lunar,Total,221.3292,Scorpio,11.3292,Anuradha,3,?
2021-06-10 10:41,Solar,Annular+Central,55.6259,Taurus,25.6259,Mrigashira,1,N
2021-11-19 09:02,Lunar,Partial,33.1280,Taurus,3.1280,Krittika,2,?
2021-12-04 07:33,Solar,Total+Central,228.2016,Scorpio,18.2016,Jyeshtha,1,N
2022-04-30 20:41,Solar,Partial+Non-Central,16.3173,Aries,16.3173,Bharani,1,N
2022-05-16 04:11,Lunar,Total,211.1077,Scorpio,1.1077,Vishakha,4,?
2022-10-25 11:00,Solar,Partial+Non-Central,187.8375,Libra,7.8375,Swati,1,Y
2022-11-08 10:59,Lunar,Total,21.8159,Aries,21.8159,Bharani,3,?
2023-04-20 04:16,Solar,Annular-Total+Central,5.6597,Aries,5.6597,Ashwini,2,N
2023-05-05 17:22,Lunar,Penumbral,200.6865,Libra,20.6865,Vishakha,1,?
2023-10-14 17:59,Solar,Annular+Central,176.9421,Virgo,26.9421,Chitra,2,N
2023-10-28 20:14,Lunar,Partial,10.8651,Aries,10.8651,Ashwini,4,?
2024-03-25 07:12,Lunar,Penumbral,161.0297,Virgo,11.0297,Hasta,1,?
2024-04-08 18:17,Solar,Total+Central,355.2034,Pisces,25.2034,Revati,3,N
2024-09-18 02:44,Lunar,Partial,331.5810,Pisces,1.5810,Purva Bhadrapada,4,?
2024-10-02 18:45,Solar,Annular+Central,165.8583,Virgo,15.8583,Hasta,2,N
2025-03-14 06:58,Lunar,Total,149.7674,Leo,29.7674,Uttara Phalguni,1,?
2025-03-29 10:47,Solar,Partial+Non-Central,344.7845,Pisces,14.7845,Uttara Bhadrapada,4,N
2025-09-07 18:11,Lunar,Total,321.1872,Aquarius,21.1872,Purva Bhadrapada,1,?
2025-09-21 19:42,Solar,Partial+Non-Central,154.8602,Virgo,4.8602,Uttara Phalguni,3,N
2026-02-17 12:11,Solar,Annular+Central,304.6123,Aquarius,4.6123,Dhanishta,4,N
2026-03-03 11:33,Lunar,Total,138.6346,Leo,18.6346,Purva Phalguni,2,?
2026-08-12 17:45,Solar,Total+Central,115.8075,Cancer,25.8075,Ashlesha,3,N
2026-08-28 04:12,Lunar,Partial,310.6204,Aquarius,10.6204,Shatabhisha,2,?
2027-02-06 15:59,Solar,Annular+Central,293.3905,Capricorn,23.3905,Dhanishta,1,N
2027-02-20 23:12,Lunar,Penumbral,127.7432,Leo,7.7432,Magha,3,?
2027-07-18 16:03,Lunar,Penumbral,271.7153,Capricorn,1.7153,Uttara Ashadha,2,?
2027-08-02 10:06,Solar,Total+Central,105.6719,Cancer,15.6719,Pushya,4,Y
2027-08-17 07:13,Lunar,Penumbral,299.8275,Capricorn,29.8275,Dhanishta,2,?
2028-01-12 04:13,Lunar,Partial,87.3101,Gemini,27.3101,Punarvasu,3,?
2028-01-26 15:07,Solar,Annular+Central,281.9268,Capricorn,11.9268,Shravana,1,N
2028-07-06 18:19,Lunar,Partial,261.0033,Sagittarius,21.0033,Purva Ashadha,3,?
2028-07-22 02:55,Solar,Total+Central,95.5811,Cancer,5.5811,Pushya,1,N
2028-12-31 16:52,Lunar,Total,76.3141,Gemini,16.3141,Ardra,3,?
2029-01-14 17:12,Solar,Partial+Non-Central,270.5632,Capricorn,0.5632,Uttara Ashadha,2,N
2029-06-12 04:04,Solar,Partial+Non-Central,57.2215,Taurus,27.2215,Mrigashira,2,N
2029-06-26 03:22,Lunar,Total,250.5556,Sagittarius,10.5556,Moola,4,?
2029-07-11 15:36,Solar,Partial+Non-Central,85.3446,Gemini,25.3446,Punarvasu,2,N
2029-12-05 15:02,Solar,Partial+Non-Central,229.4855,Scorpio,19.4855,Jyeshtha,1,N
2029-12-20 22:42,Lunar,Total,65.0257,Gemini,5.0257,Mrigashira,4,?
2030-06-01 06:28,Solar,Annular+Central,46.5501,Taurus,16.5501,Rohini,2,N
2030-06-15 18:33,Lunar,Partial,240.3503,Sagittarius,0.3503,Moola,1,?
2030-11-25 06:50,Solar,Total+Central,218.7447,Scorpio,8.7447,Anuradha,2,N
2030-12-09 22:27,Lunar,Penumbral,53.5016,Taurus,23.5016,Mrigashira,1,?
2031-05-07 03:50,Lunar,Penumbral,202.2275,Libra,22.2275,Vishakha,1,?
2031-05-21 07:14,Solar,Annular+Central,35.7722,Taurus,5.7722,Krittika,3,Y
2031-06-05 11:44,Lunar,Penumbral,230.2066,Scorpio,20.2066,Jyeshtha,2,?
2031-10-30 07:45,Lunar,Penumbral,12.4884,Aries,12.4884,Ashwini,4,?
2031-11-14 21:06,Solar,Annular-Total+Central,207.9841,Libra,27.9841,Vishakha,3,N
2032-04-25 15:13,Lunar,Total,191.6923,Libra,11.6923,Swati,2,?
2032-05-09 13:25,Solar,Annular+Central,25.1654,Aries,25.1654,Bharani,4,N
2032-10-18 19:02,Lunar,Total,1.6762,Aries,1.6762,Ashwini,1,?
2032-11-03 05:32,Solar,Partial+Non-Central,197.0322,Libra,17.0322,Swati,4,N
2033-03-30 18:01,Solar,Total+Central,346.0258,Pisces,16.0258,Uttara Bhadrapada,4,N
2033-04-14 19:12,Lunar,Total,180.7923,Libra,0.7923,Chitra,3,?
2033-09-23 13:53,Solar,Partial+Non-Central,156.5284,Virgo,6.5284,Uttara Phalguni,3,N
2033-10-08 10:55,Lunar,Total,351.1218,Pisces,21.1218,Revati,2,?
2034-03-20 10:17,Solar,Total+Central,335.5404,Pisces,5.5404,Uttara Bhadrapada,1,Y
2034-04-03 19:05,Lunar,Penumbral,169.6614,Virgo,19.6614,Hasta,3,?
2034-09-12 16:18,Solar,Annular+Central,145.6427,Leo,25.6427,Purva Phalguni,4,N
2034-09-28 02:46,Lunar,Partial,340.6263,Pisces,10.6263,Uttara Bhadrapada,3,?
2035-02-22 09:04,Lunar,Penumbral,129.3114,Leo,9.3114,Magha,3,?
2035-03-09 23:04,Solar,Annular+Central,324.8539,Aquarius,24.8539,Purva Bhadrapada,2,N
2035-08-19 01:11,Lunar,Partial,301.6613,Aquarius,1.6613,Dhanishta,3,?
2035-09-02 01:55,Solar,Total+Central,135.1091,Leo,15.1091,Purva Phalguni,1,Y
2036-02-11 22:11,Lunar,Total,118.4313,Cancer,28.4313,Ashlesha,4,?
2036-02-27 04:45,Solar,Partial+Non-Central,313.8045,Aquarius,13.8045,Shatabhisha,3,N
2036-07-23 10:30,Solar,Partial+Non-Central,96.7948,Cancer,6.7948,Pushya,2,N
2036-08-07 02:51,Lunar,Total,290.8538,Capricorn,20.8538,Shravana,4,?
2036-08-21 17:24,Solar,Partial+Non-Central,124.8659,Leo,4.8659,Magha,2,N
2037-01-16 09:47,Solar,Partial+Non-Central,272.2298,Capricorn,2.2298,Uttara Ashadha,2,N
2037-01-31 14:00,Lunar,Total,107.6255,Cancer,17.6255,Ashlesha,1,?
2037-07-13 02:39,Solar,Total+Central,86.6932,Gemini,26.6932,Punarvasu,3,N
2037-07-27 04:08,Lunar,Partial,280.0642,Capricorn,10.0642,Shravana,1,?
2038-01-05 13:45,Solar,Annular+Central,260.9272,Sagittarius,20.9272,Purva Ashadha,3,N
2038-01-21 03:48,Lunar,Penumbral,96.7012,Cancer,6.7012,Pushya,2,?
2038-06-17 02:43,Lunar,Penumbral,241.7796,Sagittarius,1.7796,Moola,1,?
2038-07-02 13:31,Solar,Annular+Central,76.3965,Gemini,16.3965,Ardra,3,N
2038-07-16 11:34,Lunar,Penumbral,269.5490,Sagittarius,29.5490,Uttara Ashadha,1,?
2038-12-11 17:43,Lunar,Penumbral,55.4788,Taurus,25.4788,Mrigashira,1,?
2038-12-26 00:59,Solar,Total+Central,249.9310,Sagittarius,9.9310,Moola,3,N
2039-06-06 18:53,Lunar,Partial,231.5937,Scorpio,21.5937,Jyeshtha,2,?
2039-06-21 17:11,Solar,Annular+Central,65.8046,Gemini,5.8046,Mrigashira,4,N
2039-11-30 16:55,Lunar,Partial,43.9650,Taurus,13.9650,Rohini,2,?
2039-12-15 16:22,Solar,Total+Central,239.1287,Scorpio,29.1287,Jyeshtha,4,N
2040-05-11 03:41,Solar,Partial+Non-Central,26.6541,Aries,26.6541,Bharani,4,N
2040-05-26 11:45,Lunar,Total,221.4033,Scorpio,11.4033,Anuradha,3,?
2040-11-04 19:07,Solar,Partial+Non-Central,198.5552,Libra,18.5552,Swati,4,N
2040-11-18 19:03,Lunar,Total,32.6090,Taurus,2.6090,Krittika,2,?
2041-04-30 11:51,Solar,Total+Central,16.0787,Aries,16.0787,Bharani,1,N
2041-05-16 00:41,Lunar,Partial,211.0200,Scorpio,1.0200,Vishakha,4,?
2041-10-25 01:35,Solar,Annular+Central,187.5775,Libra,7.5775,Swati,1,N
2041-11-08 04:33,Lunar,Partial,21.6148,Aries,21.6148,Bharani,3,?
2042-04-05 14:29,Lunar,Penumbral,171.5890,Virgo,21.5890,Hasta,4,?
2042-04-20 02:16,Solar,Total+Central,5.7014,Aries,5.7014,Ashwini,2,Y
2042-09-29 10:44,Lunar,Penumbral,342.0810,Pisces,12.0810,Uttara Bhadrapada,3,?
2042-10-14 01:59,Solar,Annular+Central,176.4101,Virgo,26.4101,Chitra,1,Y
2043-03-25 14:30,Lunar,Total,160.4135,Virgo,10.4135,Hasta,1,?
2043-04-09 18:56,Solar,Total+Non-Central,355.3621,Pisces,25.3621,Revati,3,N
2043-09-19 01:50,Lunar,Total,331.6058,Pisces,1.6058,Purva Bhadrapada,4,?
2043-10-03 03:00,Solar,Annular+Non-Central,165.3389,Virgo,15.3389,Hasta,2,N
2044-02-28 20:23,Solar,Annular+Central,315.4181,Aquarius,15.4181,Shatabhisha,3,N
2044-03-13 19:37,Lunar,Total,149.3652,Leo,29.3652,Uttara Phalguni,1,?
2044-08-23 01:15,Solar,Total+Central,126.0939,Leo,6.0939,Magha,2,N
2044-09-07 11:19,Lunar,Total,320.9643,Aquarius,20.9643,Purva Bhadrapada,1,?
2045-02-16 23:54,Solar,Annular+Central,304.2286,Aquarius,4.2286,Dhanishta,4,N
2045-03-03 07:42,Lunar,Penumbral,138.5417,Leo,18.5417,Purva Phalguni,2,?
2045-08-12 17:41,Solar,Total+Central,115.9264,Cancer,25.9264,Ashlesha,3,N
2045-08-27 13:53,Lunar,Penumbral,310.1056,Aquarius,10.1056,Shatabhisha,2,?
2046-01-22 13:01,Lunar,Partial,98.2536,Cancer,8.2536,Pushya,2,?
2046-02-05 23:05,Solar,Annular+Central,292.8015,Capricorn,22.8015,Shravana,4,N
2046-07-18 01:04,Lunar,Partial,271.1921,Capricorn,1.1921,Uttara Ashadha,2,?
2046-08-02 10:19,Solar,Total+Central,105.8100,Cancer,15.8100,Pushya,4,N
2047-01-12 01:25,Lunar,Total,87.2508,Gemini,27.2508,Punarvasu,3,?
2047-01-26 01:32,Solar,Partial+Non-Central,281.4750,Capricorn,11.4750,Shravana,1,N
2047-06-23 10:51,Solar,Partial+Non-Central,67.4159,Gemini,7.4159,Ardra,1,N
2047-07-07 10:34,Lunar,Total,260.7611,Sagittarius,20.7611,Purva Ashadha,3,?
2047-07-22 22:34,Solar,Partial+Non-Central,95.5396,Cancer,5.5396,Pushya,1,N
2047-12-16 23:49,Solar,Partial+Non-Central,240.4064,Sagittarius,0.4064,Moola,1,N
2048-01-01 06:52,Lunar,Total,75.9494,Gemini,15.9494,Ardra,3,?
2048-06-11 12:57,Solar,Annular+Central,56.7472,Taurus,26.7472,Mrigashira,2,N
2048-06-26 02:01,Lunar,Partial,250.5640,Sagittarius,10.5640,Moola,4,?
2048-12-05 15:34,Solar,Total+Central,229.6322,Scorpio,19.6322,Jyeshtha,1,N
2048-12-20 06:26,Lunar,Penumbral,64.4009,Gemini,4.4009,Mrigashira,4,?
2049-05-17 11:25,Lunar,Penumbral,212.5642,Scorpio,2.5642,Vishakha,4,?
2049-05-31 13:58,Solar,Annular+Central,46.0121,Taurus,16.0121,Rohini,2,N
2049-06-15 19:13,Lunar,Penumbral,240.4386,Sagittarius,0.4386,Moola,1,?
2049-11-09 15:50,Lunar,Penumbral,23.2368,Aries,23.2368,Bharani,3,?
2049-11-25 05:32,Solar,Annular-Total+Central,218.8211,Scorpio,8.8211,Anuradha,2,Y
2050-05-06 22:30,Lunar,Total,202.0684,Libra,22.0684,Vishakha,1,?
2050-05-20 20:41,Solar,Annular-Total+Central,35.4695,Taurus,5.4695,Krittika,3,N
2050-10-30 03:20,Lunar,Total,12.3743,Aries,12.3743,Ashwini,4,?
2050-11-14 13:29,Solar,Partial+Non-Central,207.7976,Libra,27.7976,Vishakha,3,N
2051-04-11 02:09,Solar,Partial+Non-Central,356.5868,Pisces,26.5868,Revati,3,Y
2051-04-26 02:15,Lunar,Total,191.2260,Libra,11.2260,Swati,2,?
2051-10-04 21:01,Solar,Partial+Non-Central,167.0151,Virgo,17.0151,Hasta,3,N
2051-10-19 19:10,Lunar,Total,1.7482,Aries,1.7482,Ashwini,1,?
2052-03-30 18:30,Solar,Total+Central,346.1716,Pisces,16.1716,Uttara Bhadrapada,4,N
2052-04-14 02:16,Lunar,Penumbral,180.1673,Libra,0.1673,Chitra,3,?
2052-09-22 23:37,Solar,Annular+Central,156.0734,Virgo,6.0734,Uttara Phalguni,3,N
