canonical_id,local_path,gcs_uri,local_sha256,gcs_sha256,match,local_size_bytes,gcs_size_bytes,divergence_type
CLUSTER_ATLAS_v1_0,035_DISCOVERY_LAYER/REGISTERS/CLUSTER_ATLAS_v1_0.md,gs://madhav-marsys-sources/L3/registers/CLUSTER_ATLAS_v1_0.md,2ed3f8df9b970f3c85e3aed877e04244eabebc521a3e845adbcbed379e46aac8,2ed3f8df9b970f3c85e3aed877e04244eabebc521a3e845adbcbed379e46aac8,True,15678,15678,none
CONTRADICTION_REGISTER_JSON,035_DISCOVERY_LAYER/REGISTERS/CONTRADICTION_REGISTER_v1_0.json,gs://madhav-marsys-sources/L3/registers/CONTRADICTION_REGISTER_v1_0.json,de3d1cd5b86f484fe10920bfd7cc9a38de32fb2fe35abf6aa1393576aa85f3ea,de3d1cd5b86f484fe10920bfd7cc9a38de32fb2fe35abf6aa1393576aa85f3ea,True,20772,20772,none
CONTRADICTION_REGISTER_v1_0,035_DISCOVERY_LAYER/REGISTERS/CONTRADICTION_REGISTER_v1_0.md,gs://madhav-marsys-sources/L3/registers/CONTRADICTION_REGISTER_v1_0.md,7d1acea5dc195716e15248c67a272aa0fb3b9b211f1a6110e4074052b0dfe8e8,7d1acea5dc195716e15248c67a272aa0fb3b9b211f1a6110e4074052b0dfe8e8,True,17441,17441,none
DISCOVERY_REGISTERS_INDEX,035_DISCOVERY_LAYER/REGISTERS/INDEX.json,gs://madhav-marsys-sources/L3/registers/INDEX.json,6b51b187a4a5ea0dddb2d6f9e158d5a5b20b51a86b44350469423f41dfb78e28,6b51b187a4a5ea0dddb2d6f9e158d5a5b20b51a86b44350469423f41dfb78e28,True,191,191,none
PATTERN_REGISTER_JSON,035_DISCOVERY_LAYER/REGISTERS/PATTERN_REGISTER_v1_0.json,gs://madhav-marsys-sources/L3/registers/PATTERN_REGISTER_v1_0.json,0108db4660c1f26b01e46ba4ccaabf5b8ee2ef947f9fd63667874d1914cc3513,0108db4660c1f26b01e46ba4ccaabf5b8ee2ef947f9fd63667874d1914cc3513,True,48479,48479,none
PATTERN_REGISTER_v1_0,035_DISCOVERY_LAYER/REGISTERS/PATTERN_REGISTER_v1_0.md,gs://madhav-marsys-sources/L3/registers/PATTERN_REGISTER_v1_0.md,b8eaf9402827c55d03eaf73f1b4d1a903f06ccb2dbd3eb0e28775b292991e974,b8eaf9402827c55d03eaf73f1b4d1a903f06ccb2dbd3eb0e28775b292991e974,True,34717,34717,none
RESONANCE_REGISTER_JSON,035_DISCOVERY_LAYER/REGISTERS/RESONANCE_REGISTER_v1_0.json,gs://madhav-marsys-sources/L3/registers/RESONANCE_REGISTER_v1_0.json,c6e337bdd6b958cc8db3725bf5bacc439186d8bd80ea0e5076133d72ccca807d,c6e337bdd6b958cc8db3725bf5bacc439186d8bd80ea0e5076133d72ccca807d,True,27797,27797,none
RESONANCE_REGISTER_v1_0,035_DISCOVERY_LAYER/REGISTERS/RESONANCE_REGISTER_v1_0.md,gs://madhav-marsys-sources/L3/registers/RESONANCE_REGISTER_v1_0.md,3faca59472859d801c5502ac72276e58853d1b8299ca7b0f3979704e9ddd7b07,3faca59472859d801c5502ac72276e58853d1b8299ca7b0f3979704e9ddd7b07,True,2921,2921,none
ECLIPSES,01_FACTS_LAYER/ECLIPSES_1900_2100.csv,gs://madhav-marsys-sources/L1/ephemeris/ECLIPSES_1900_2100.csv,fbacc50f1c0d0b3ed33b02341c3f2497eb04ee77d37efe3f6fbca21c15d1b1c2,fbacc50f1c0d0b3ed33b02341c3f2497eb04ee77d37efe3f6fbca21c15d1b1c2,True,67786,67786,none
EPHEMERIS_MONTHLY,01_FACTS_LAYER/EPHEMERIS_MONTHLY_1900_2100.csv,gs://madhav-marsys-sources/L1/ephemeris/EPHEMERIS_MONTHLY_1900_2100.csv,a0e8fbac0178610faa00fcbdc4f63b89b4071d8936ce8691eafb57ebb2a9791a,a0e8fbac0178610faa00fcbdc4f63b89b4071d8936ce8691eafb57ebb2a9791a,True,1690822,1690822,none
RETROGRADES,01_FACTS_LAYER/RETROGRADES_1900_2100.csv,gs://madhav-marsys-sources/L1/ephemeris/RETROGRADES_1900_2100.csv,17fa17153c02887295fba6794283ca9b3573071afad7d1a9b4412990109d6ace,17fa17153c02887295fba6794283ca9b3573071afad7d1a9b4412990109d6ace,True,81681,81681,none
